x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,x_center,y_center
2359.0,1132.0,2412.0,1172.0,1,0.7335566282272339,,golf ball,93,2386.0,1152.0
2371.0,1133.0,2424.0,1171.0,1,0.5989540219306946,,golf ball,94,2398.0,1152.0
2387.0,1132.0,2441.0,1172.0,1,0.7525487542152405,,golf ball,95,2414.0,1152.0
2401.0,1132.0,2455.0,1171.0,1,0.7278976440429688,,golf ball,96,2428.0,1152.0
2418.0,1132.0,2467.0,1170.0,1,0.6625107526779175,,golf ball,97,2442.0,1151.0
2430.0,1131.0,2485.0,1172.0,1,0.6059083342552185,,golf ball,98,2458.0,1152.0
2445.0,1132.0,2497.0,1172.0,1,0.7275182008743286,,golf ball,99,2471.0,1152.0
2459.0,1131.0,2507.0,1169.0,1,0.7137695550918579,,golf ball,100,2483.0,1150.0
2467.0,1132.0,2521.0,1171.0,1,0.473712146282196,,golf ball,101,2494.0,1152.0
2483.0,1132.0,2538.0,1172.0,1,0.7135515213012695,,golf ball,102,2510.0,1152.0
2500.0,1134.0,2551.0,1171.0,1,0.7465468645095825,,golf ball,103,2526.0,1152.0
2512.0,1132.0,2563.0,1172.0,1,0.6896788477897644,,golf ball,104,2538.0,1152.0
2524.0,1134.0,2578.0,1172.0,1,0.6962857246398926,,golf ball,105,2551.0,1153.0
2539.0,1133.0,2591.0,1173.0,1,0.7337034940719604,,golf ball,106,2565.0,1153.0
2551.0,1132.0,2602.0,1172.0,1,0.7525537014007568,,golf ball,107,2576.0,1152.0
2563.0,1132.0,2614.0,1172.0,1,0.4083884060382843,,golf ball,108,2588.0,1152.0
2574.0,1134.0,2627.0,1171.0,1,0.61591637134552,,golf ball,109,2600.0,1152.0
2590.0,1135.0,2639.0,1171.0,1,0.7408333420753479,,golf ball,110,2614.0,1153.0
2604.0,1136.0,2648.0,1168.0,1,0.7670408487319946,,golf ball,111,2626.0,1152.0
2623.0,1134.0,2673.0,1170.0,1,0.5560146570205688,,golf ball,113,2648.0,1152.0
2639.0,1136.0,2687.0,1171.0,1,0.7327718734741211,,golf ball,114,2663.0,1154.0
2648.0,1135.0,2694.0,1169.0,1,0.7657290697097778,,golf ball,115,2671.0,1152.0
2657.0,1133.0,2705.0,1170.0,1,0.6424804329872131,,golf ball,116,2681.0,1152.0
2666.0,1136.0,2718.0,1172.0,1,0.6230309009552002,,golf ball,117,2692.0,1154.0
2679.0,1136.0,2729.0,1172.0,1,0.7030652761459351,,golf ball,118,2704.0,1154.0
2690.0,1137.0,2742.0,1172.0,1,0.7743105292320251,,golf ball,119,2716.0,1154.0
2702.0,1137.0,2751.0,1171.0,1,0.7552458047866821,,golf ball,120,2726.0,1154.0
2710.0,1135.0,2772.0,1177.0,1,0.4526311457157135,,golf ball,121,2741.0,1156.0
2717.0,1136.0,2772.0,1173.0,1,0.709667980670929,,golf ball,122,2744.0,1154.0
2729.0,1137.0,2780.0,1173.0,1,0.709707498550415,,golf ball,123,2754.0,1155.0
2738.0,1138.0,2789.0,1173.0,1,0.7396132946014404,,golf ball,124,2764.0,1156.0
2748.0,1137.0,2796.0,1172.0,1,0.7657245397567749,,golf ball,125,2772.0,1154.0
2755.0,1136.0,2806.0,1172.0,1,0.586344301700592,,golf ball,126,2780.0,1154.0
2762.0,1137.0,2815.0,1172.0,1,0.6025428771972656,,golf ball,127,2788.0,1154.0
2771.0,1136.0,2824.0,1172.0,1,0.7061091065406799,,golf ball,128,2798.0,1154.0
2783.0,1138.0,2836.0,1173.0,1,0.7654076218605042,,golf ball,129,2810.0,1156.0
2792.0,1137.0,2842.0,1171.0,1,0.7725228071212769,,golf ball,130,2817.0,1154.0
2800.0,1135.0,2849.0,1171.0,1,0.6493360996246338,,golf ball,131,2824.0,1153.0
2811.0,1135.0,2869.0,1175.0,1,0.4571059644222259,,golf ball,132,2840.0,1155.0
2813.0,1136.0,2866.0,1172.0,1,0.6961858868598938,,golf ball,133,2840.0,1154.0
2824.0,1135.0,2872.0,1171.0,1,0.7316514253616333,,golf ball,134,2848.0,1153.0
2831.0,1136.0,2882.0,1173.0,1,0.757122278213501,,golf ball,135,2856.0,1154.0
2837.0,1138.0,2888.0,1173.0,1,0.7732700109481812,,golf ball,136,2862.0,1156.0
2844.0,1137.0,2893.0,1173.0,1,0.7378224730491638,,golf ball,137,2868.0,1155.0
2847.0,1137.0,2897.0,1173.0,1,0.6837058067321777,,golf ball,138,2872.0,1155.0
2859.0,1136.0,2912.0,1170.0,1,0.6471686959266663,,golf ball,140,2886.0,1153.0
2867.0,1136.0,2917.0,1169.0,1,0.726508617401123,,golf ball,141,2892.0,1152.0
2875.0,1137.0,2925.0,1171.0,1,0.7743080258369446,,golf ball,142,2900.0,1154.0
2881.0,1137.0,2932.0,1171.0,1,0.7795841693878174,,golf ball,143,2906.0,1154.0
2888.0,1138.0,2937.0,1171.0,1,0.7828574180603027,,golf ball,144,2912.0,1154.0
2893.0,1137.0,2941.0,1170.0,1,0.7753772735595703,,golf ball,145,2917.0,1154.0
2896.0,1136.0,2945.0,1171.0,1,0.7218260765075684,,golf ball,146,2920.0,1154.0
2904.0,1135.0,2963.0,1176.0,1,0.4694972336292267,,golf ball,147,2934.0,1156.0
2904.0,1137.0,2958.0,1173.0,1,0.5414950251579285,,golf ball,148,2931.0,1155.0
